2QGPCU, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
2QGPCU, R, 3, inf, -5, inf
2JW4I2, B, 4, -2, -5, inf
2QGPCU, R, 3, -2, -5, -2
2JW4I2, P, 4, 1, -5, -2
2QGPCU, R, 3, -2, -5, -2
2JW4I2, Y, 4, -2, -5, -2
2QGPCU, R, 3, -2, -5, -2
6FOGAR, G, 4, 2, -5, -2
2QGPCU, R, 3, -2, -5, -2
6FOGAR, P, 4, 1, -5, -2
2QGPCU, R, 3, -2, -5, -2
6FOGAR, R, 4, -9, -5, -2
2QGPCU, R, 3, -9, -5, -2
0IAHYC, B, 2, -5, -5, inf
2QGPCU, Y, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
2QGPCU, Y, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
2QGPCU, Y, 3, 2, -5, 2
6FOGAR, G, 4, 6, -5, 2
2QGPCU, Y, 3, 2, -5, 2
6FOGAR, P, 4, 5, -5, 2
2QGPCU, Y, 3, 2, -5, 2
6FOGAR, R, 4, -5, -5, 2
2QGPCU, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
6FOGAR, G, 3, inf, -5, inf
2JW4I2, B, 4, -3, -5, inf
6FOGAR, G, 3, -3, -5, -3
2JW4I2, P, 4, 0, -5, -3
6FOGAR, G, 3, -3, -5, -3
2JW4I2, Y, 4, -3, -5, -3
6FOGAR, G, 3, -3, -5, -3
2QGPCU, G, 4, 1, -5, -3
6FOGAR, G, 3, -3, -5, -3
2QGPCU, P, 4, 0, -5, -3
6FOGAR, G, 3, -3, -5, -3
2QGPCU, R, 4, -10, -5, -3
6FOGAR, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
6FOGAR, P, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
6FOGAR, P, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
6FOGAR, P, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
6FOGAR, P, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
6FOGAR, P, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
6FOGAR, P, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
6FOGAR, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
6FOGAR, R, 3, inf, -5, inf
2JW4I2, B, 4, -2, -5, inf
6FOGAR, R, 3, -2, -5, -2
2JW4I2, P, 4, 1, -5, -2
6FOGAR, R, 3, -2, -5, -2
2JW4I2, Y, 4, -2, -5, -2
6FOGAR, R, 3, -2, -5, -2
2QGPCU, G, 4, 2, -5, -2
6FOGAR, R, 3, -2, -5, -2
2QGPCU, P, 4, 1, -5, -2
6FOGAR, R, 3, -2, -5, -2
2QGPCU, R, 4, -9, -5, -2
6FOGAR, R, 3, -9, -5, -2
0IAHYC, B, 2, -5, -5, inf
6FOGAR, Y, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
6FOGAR, Y, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
6FOGAR, Y, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
6FOGAR, Y, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
6FOGAR, Y, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
6FOGAR, Y, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
6FOGAR, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
6RU15F, G, 3, inf, -5, inf
2JW4I2, B, 4, -3, -5, inf
6RU15F, G, 3, -3, -5, -3
2JW4I2, P, 4, 0, -5, -3
6RU15F, G, 3, -3, -5, -3
2JW4I2, Y, 4, -3, -5, -3
6RU15F, G, 3, -3, -5, -3
2QGPCU, G, 4, 1, -5, -3
6RU15F, G, 3, -3, -5, -3
2QGPCU, P, 4, 0, -5, -3
6RU15F, G, 3, -3, -5, -3
2QGPCU, R, 4, -10, -5, -3
6RU15F, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
6RU15F, P, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
6RU15F, P, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
6RU15F, P, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
6RU15F, P, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
6RU15F, P, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
6RU15F, P, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
6RU15F, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
6RU15F, R, 3, inf, -5, inf
2JW4I2, B, 4, -2, -5, inf
6RU15F, R, 3, -2, -5, -2
2JW4I2, P, 4, 1, -5, -2
6RU15F, R, 3, -2, -5, -2
2JW4I2, Y, 4, -2, -5, -2
6RU15F, R, 3, -2, -5, -2
2QGPCU, G, 4, 2, -5, -2
6RU15F, R, 3, -2, -5, -2
2QGPCU, P, 4, 1, -5, -2
6RU15F, R, 3, -2, -5, -2
